std_no,department_no,class_code,class_name,period
04034007,034,SBU3126,Siyasal İletişim Ve Lobicilik,GÜZ DÖNEMİ
09034012,034,SBU3126,Siyasal İletişim Ve Lobicilik,GÜZ DÖNEMİ
08034053,034,SBU3502,Toplumsal Duyarlılık Projesi 1,GÜZ DÖNEMİ
09034012,034,SBU3502,Toplumsal Duyarlılık Projesi 1,GÜZ DÖNEMİ
09034042,034,SBU4611,Balkanlarda Uluslaşma Hareketleri Ve Türkiye,GÜZ DÖNEMİ
05011705,011,BLM3520,Mobil Programlamaya Giriş,BAHAR DÖNEMİ
08011080,011,BLM3520,Mobil Programlamaya Giriş,BAHAR DÖNEMİ
05011034,011,BLM3620,Sayısal İşaret İşleme,BAHAR DÖNEMİ
08011013,011,BLM3620,Sayısal İşaret İşleme,BAHAR DÖNEMİ
08011057,011,BLM3620,Sayısal İşaret İşleme,BAHAR DÖNEMİ
08011060,011,BLM3620,Sayısal İşaret İşleme,BAHAR DÖNEMİ
09011033,011,BLM3780,Veritabanı Sistemlerinin Gerçekleştirilmesi,BAHAR DÖNEMİ
05011034,011,BLM4120,Büyük Veri İşleme Ve Analizi,BAHAR DÖNEMİ
08011060,011,BLM4590,Ayrık Olay Simulasyonu,BAHAR DÖNEMİ
05011034,011,BLM4800,Veri Madenciliğine Giriş,BAHAR DÖNEMİ
08011013,011,BLM4830,Robot Teknolojisine Giriş,BAHAR DÖNEMİ
09011033,011,BLM4900,İleri Ağ Programlama,BAHAR DÖNEMİ
03083017,083,BSP4332,Felsefe Ve Sanat,BAHAR DÖNEMİ
03083017,083,DTP1552,Temel Kompozisyon Teknikleri,BAHAR DÖNEMİ
08083005,083,DTP2542,Alan Araştırmasında Yöntem,BAHAR DÖNEMİ
07014086,014,EHM4350,Sayısal Elektronik Devreleri,BAHAR DÖNEMİ
08014026,014,EHM4350,Sayısal Elektronik Devreleri,BAHAR DÖNEMİ
07014086,014,EHM4850,Haberleşme Teorisi,BAHAR DÖNEMİ
07014086,014,EHM4880,Elektronik Savunma Sistemlerine Giriş,BAHAR DÖNEMİ
08012902,012,ELM2020,Malzeme,BAHAR DÖNEMİ
