class_code,class_name
EHM4340,Analog Tümdevreler
EHM4840,Görüntü İşleme
EHM4880,Elektronik Savunma Sistemlerine Giriş
EHM4991,Çok Disiplinli Tasarım Projesi
ELM1001,Elektrik Mühendisliğine Giriş
ELM1041,İş Sağlığı ve Güvenliği 1
ELM2051,Devre Analizi
ELM2061,Elk.manyetik Alan Teo.
ELM2071,Mühendislikte Çizim ve Tasarım
ELM2081,Olasılık Ve İstatistik
ELM3001,Elektrik Makinaları 1
ELM3081,Yüksek Gerilim Tekniği
ELM3091,Sayısal Sistemler
ELM3141,Enerji İletim Sistemleri
ELM4000,Bitirme Çalışması
ELM4041,Elektrik Makinaları Lab. 1
ELM4045,Güç Sistemlerinin Optimizasyonu
ELM4051,Elektrik Makinalarının Kontrolü
ELM4991,Çok Disiplinli Tasarım Projesi
END1911,İş Sağlığı Ve Güvenliği 1
END3961,Sistem Analizi
END4651,Kalite Yönetimi
END4971,Tesis Tasarımı Ve Planlaması
END4972,End. Müh. Laboratuvar Uygulamaları
END4991,Endüstri Müh. Tasarım 2
FIZ1001,Fizik 1
FIZ1001,Fizik 1 Türkçe (1) Grupları Ortak Sınav
FIZ1111,Fizik 1
FIZ2131,Fizik 3
FIZ2211,Fizikte Matematiksel Yöntemler 1
FIZ2221,Fizikte Diferansiyel Denklemler
FIZ3401,Kuantum Fiziği 1
FIZ3411,Klasik Elektromanyetik Teori 1
FIZ4101,Katıhal Fiziği 1
FIZ4111,Çekirdek Fiziği 1
FIZ4450,Süperiletkenliğe Giriş
FIZ4470,Biyofizik
FIZ4590,Sağlık Fiziği
FIZ4640,Temel Tanecikler
FIZ4690,Katıhal Fiziği 2
FVP1121,Desen 1
FVP2441,Analog Fotoğraf
FVP3701,Fotoğraf Ve Sanat
FVP4000,Bitirme Çalışması
FVP4411,Foto- Grafik Tasarım
HRT2111,Geometrik Jeodezi
HRT2121,Hata Kuramı Ve Parametre Kestirimi
HRT2132,Uydu Jeodezisi
HRT2411,Kartografya 1
HRT3191,Fiziksel Jeodezi
HRT3211,Fotogmetrinin Temelleri
HRT3331,Mühendislik Ölçmeleri
HRT3431,Coğrafi Bilgi Sistemleri 1
HRT3571,Taşınmaz Hukuku Ve Kadastro
HRT4171,Koordinat Sistemleri
HRT4201,Uzaktan Algılama
HRT4311,Taşınmaz Değerlemesi
HRT4361,Madencilik Ölçmeleri
HRT4391,Tasarım 1- Yol Projesi
IKT1111,İktisatçılar İçin Matematik 1
IKT1121,Sosyoloji
IKT2201,Mikro İktisat
IKT2272,Kamu Ekonomisi
IKT2281,Genel İktisat Tarihi
IKT2901,İktisatta Araştırma Yöntemleri
IKT3311,Uluslararası İktisat 1
IKT3321,Para Teorisi
IKT3901,Ekonometri 1
IKT3902,Ekonometri 2
IKT4000,Bitirme Çalışması
IKT4401,Gelişme Ekonomisi
IKT4411,İktisadi Düşünce Tarihi
ILT4000,Bitirme Çalışması
ILT4651,Proje 4
ING2321,İngiliz Edebiyatı 1
ING3131,Dil Becerilerinin Öğretimi I
ING3151,İkinci Yabancı Dil I
ING3161,Drama
ING3311,Çocuklara Yabancı Dil Öğretimi 1
ING3321,İngilizce Dil Becerilerinin Öğretimi 1
ING3331,Dil Ve Edebiyat Öğretimi 1
ING4131,İkinci Yabancı Dil III
ING4261,Proje Uygulamaları
INS1911,Teknik Resim Ve Tasarı Geometri
INS2311,Dinamik
INS2321,Mukavemet I
INS2711,Malzeme Bilimi
INS2811,Statik- Mukavemet
INS2931,İstatistik
INS2942,Sayısal Analiz
INS3121,Zemin Mekaniği
INS3122,Toprak Dolgular Ve Derin Kazılar
INS3211,Hidrolik
INS3222,Kıyı Hidroliğine Giriş
INS3441,Karayolu Mühendisliği
INS3531,Çelik Yapılar 1
INS3541,Yapı Statiği 2
INS3592,Sonlu Elemanlar Yöntemine Giriş
INS3712,İleri Beton Teknolojisi
INS4000,Bitirme Çalışması
INS4112,Geoteknik Deprem Mühendisliği
INS4201,Su Kaynakları
INS4232,Barajlar
INS4251,Sulama- Kurutma
INS4272,Drenaj Tekniği
INS4421,Karayolu Üstyapıları
INS4491,Trafik Mühendisliği
INS4511,Betonarme 2
INS4582,Betonarme 3
INS4691,Betonarme Yapı Tasarımı
INS4721,Binalarda Isı Yalıtımı Tasarımı
INS4741,Betonun Dayanıklılığı
INS4812,İnşaat Makineleri
INS4821,İnşaat Yönetimi
ISL1182,Genel Muhasebe II
ISL1611,İşletme Bilimine Giriş
ISL2211,Mali Tablolar Analizi
ISL2441,İşletmeciler İçin İstatistik 1
ISL3152,İşletmelerde Güncel Sorunlara Çözüm Seminerleri 1
ISL3221,Finansal Yönetim I
ISL3621,Üretim Yönetimi
ISL4251,Yönetim Muhasebesi
ISL4421,Pazarlama Araştırması
ISL4551,Nicel Karar Verme Teknikleri 1
IST1081,Bilgisayar Programlamaya Giriş
IST2161,Mesleki İngilizce 1
IST3130,Karar Teorisi
IST3131,Araştırma Teknikleri
IST3230,Planlama Teknikleri
IST4111,Çok Değişkenli İstatistik 1
IST4240,İstatistikçiler İçin Matematiksel Programlama
ITB2080,Toplumsal Değişim Sürecinde Kadın
ITB3010,Sosyoloji
ITB3020,Felsefeye Giriş
ITB3040,20.Yüzyılda Siy.Geliş.ve Top.Hareketler
ITB3150,Tarih ve Sinema
ITB3330,Çevre Ve Ekoloji
ITB3420,Osmanlı Devletinin Toplumsal Yapısı
ITB3560,Siyaset Felsefesi
ITB4100,Toplumsal Yapılar Ve Tarihsel Dönüşümler
KIM1170,Genel Kimya
KIM1170,Genel Kimya Türkçe Grupları Ortak Sınav
KIM2061,"Kimyasallar, Tehlikeleri Ve Korunma Yolları"
KIM2511,Analitik Kimya 1
KIM2521,Anorganik Kimya 1
KIM2531,Fizikokimya 1
KIM3411,Enstrümental Analiz 1
KIM3441,Organik Kimya 1
KIM4911,Biyokimya Lab. 2
MAK1051,Bilgisayar Destekli Teknik Resim
MAK1061,Temel Bilgisayar Bilimleri
MAK1071,Makine Mühendisliğine Giriş Ve Etik
MAK2011,Ölçme Tekniği Ve Değerlendirme
MAK2061,Malzeme
MAK2071,Dinamik 1
MAK2081,Mukavemet 1
MAK2091,Termodinamik 1
MAK3072,Proje 1
MAK3081,Analitik Mekanik
MAK3091,Makine Elemanları 1
MAK3141,Enerji Ekonomisi 1
MAK3151,Enerji Sistemlerinde Optimizasyon
MAK3181,Sıhhi Tesisat
MAK3271,Isı Transferi 1
MAK3291,Mühendislik Ekonomisi Ve Değer Yönetimi
MAK3391,İmalat Yöntemleri 2
MAK3481,Elektrik- Elektroniğin Temelleri
MAK4071,Mekanizma Tekniği 1
MAK4081,Proje 2
MAK4291,Laboratuvar
MAK4391,Otomatik Kontrol 1
MAK4451,Mekanik Titreşimler
MAK4471,İş Sağlığı Ve Güvenliği 1
MAK4521,Raylı Sistemler
MAK4561,Plastik Malzemeler Ve Şekillendirilmesi
