class_code,class_name
CEV4141,Yenilenebilir Enerji Sistemleri
CEV4151,Hava Kirliliği Meteorolojisi
CEV4171,Katı Atık Geri Kazanma Sistemleri
CEV4181,Temiz Üretim Teknolojileri
CEV4351,Endüstriyel Hava Kirliliği Kontrolü
CEV4452,Atık Yönetimi Ve Geri Dönüşüm
DTP2511,Temel Biçimler İçin Kompozisyon
DTP2521,Midi Sentezleyiciler Ve Sentezleme Teknikleri
DTP2811,Armoni 1
DTP2861,Kontrpuana Giriş
DTP3521,Mastering
DTP3561,Müzik Yazısı Yöntemleri
DTP3801,Solfej 5
DTP3811,Armoni 3
DTP3821,Uzmanlık Alan Semineri 3
DTP3831,Form Bilgisi 1
DTP4000,Bitirme Çalışması
DTP4511,Geniş Çalgı Toplulukları İçin Kompozisyon
DTP4521,Etkileşimli Elektronik Müzik Tasarımı
DTP4550,Müzik Aritmetiği- Tamperemanlar
DTP4811,Armoni 5
DTP4821,Uzmanlık Alan Projesi
EHM2121,Devre Ve Sistem Analizi
EHM2131,Elektromagnetik Alan Teorisi
EHM2151,Yarıiletken Fiziği
EHM2171,Elek. Devre Temelleri Lab.
EHM3151,Elektronik Devreler 1 Lab.
EHM3161,İleri Elektronik Uygulamaları
EHM3171,Devre Sentezi
EHM3731,Haberleşme Ağları
EHM4260,Veri Haberleşmesi
EHM4820,Mikrodenetleyiciler
ELM1031,Mühendislik Matematiği
ELM2010,Elektrik Makinalarının Temelleri
ELM2040,Metroloji
ELM3071,Güç Elektroniği 1
ELM4020,Esnek Ac İletim Sistemlerine Giriş
ELM4040,Alternatif Enerjiler Ve Modellenmesi
ELM4061,Mühendislik Tasarımı
ELM4070,Mikroişlemci Tabanlı Sistem Tasarımı
ELM4080,Akıllı Ev Ve Enerji Yönetimi
ELM4090,Elektrik Mak.bilg.destekli Tasarımı
ELM4290,Topraklama
ELM4302,Endüstri 4.0 Ve Elektrik Mühendisliğinde Uygulamalar
ELM4411,Yenilenebilir Enerji Sis.lab.
ELM4500,Elektrik Tesislerinde Koruma Tekniği
ELM4900,Elektrik Mühendisliğinde Bilgisayar Uygulamaları
ELM4930,Elektrik Şalt Tesisleri
END1902,Bilgisayar Destekli Teknik Resim
END1991,Endüstri Mühendisliğine Giriş
END2961,Ekonomi
END2971,İleri Bilgisayar Programlama
END2981,Üretim Yöntemleri
END2991,Olasılık
END3401,İş Etüdü
END3760,Çizelgeleme
END3930,Karar Destek Sistemleri
END3940,Çok Kriterli Karar Verme
END3971,Yapay Zeka Ve Uzman Sistemler
END3981,Mühendislik Ekonomisi
END3991,Yöneylem Araştırması 2
END3992,Endüstri Müh. Tasarım 1
END4370,Stratejik Yönetim
END4480,İşletmelerde Verimlilik
END4490,Yenilikçilik Ve Girişimcilik
END4661,Finansal Yönetim
END4690,Güvenilirlik Mühendisliği
END4810,Envanter Modelleri
END4990,İstatistiksel Kalite Kontrol
FBO1012,Genel Fizik 2
FBO1061,Fizik 1
FBO1071,Kimya 1
FBO1091,Genel Matematik 1
FBO2010,Bilim Tarihi Ve Felsefesi
FBO2011,Genel Biyoloji 1
FBO2040,Fen Bilgisi Öğretiminde Kavram Yanılgıları
FBO2041,Genel Fizik Lab. 3
FBO2050,Fen Öğretiminde Materyal Tasarımı
FBO2070,İnsan Anatomisi Ve Fizyolojisi
FBO2111,Fizik 3
FBO2120,Yenilenebilir Enerji Kaynakları
FBO2121,Kimya 3
FBO2131,Biyoloji 2
FBO2171,Fen Öğrenme Ve Öğretim Yaklaşımları
FBO3021,Fizikte Özel Konular
FBO3031,Kimyada Özel Konular
FBO3081,Fen Öğretimi 1
FBO3091,Fen Öğretimi Laboratuvar Uygulamaları 1
FBO3101,Astronomi
FBO3141,İstatistik
FBO4111,Biyolojide Özel Konular
FBO4121,Evrim
FIZ1001,Fizik 1 İngilizce Grupları Ortak Sınav
FIZ1121,Mesleki İngilizce 1
FIZ2152,Klasik Mekanik
FIZ2271,Fizik Laboratuvarı 2
FIZ3270,Maddenin Elektrik Ve Manyetik Özelliklerine Giriş
FIZ3340,Astrofizik
FIZ3420,Nanoteknoloji 1
FIZ3421,Termodinamiğe Giriş
FIZ3520,Fiziğin Tarihsel Gelişimi
FIZ4790,"Sıvı Kristallerin Yapıları, Özellikleri Ve Uygulamaları"
FIZ4810,Elektronik 2
FIZ9000,Bitirme Çalışması
FVP1131,Karanlık Oda Teknikleri
FVP1141,Fotograf Bilgisi 1
FVP2101,Stüdyo 1
FVP2111,Sayısal Fotoğraf 1
FVP2131,Video Uygulama 1
FVP2141,Mesleki Temel Eğitim
FVP2151,Belgesel Fotograf
FVP2401,Görsel Kültür
FVP2411,Sinema Ve Tv Tarihi
FVP2440,Fotoğraf ve Sanat
FVP2471,Fotografik Optik Ve Görsel Algı
FVP2901,Medya Kuramları
FVP3121,İleri Çekim Teknikleri
FVP3131,Fotograf Tarihi 1
FVP3141,Görüntü İşleme
FVP3151,Fotograf Ve Video Uygulamaları 1
FVP3161,Tv Program Türleri
FVP3411,Belgesel Yapım
FVP3421,Endüstri Fotografı
FVP3721,Aydınlatma Estetiği
FVP3911,Mesleki Terminoloji 2
FVP4111,Basım-çoğaltım
FVP4301,Fotograf Ve Video Uygulamaları 3
FVP4401,Sunuş Yöntemleri
GDM1011,Gıda Mühendisliğine Giriş
GDM2091,Kütle Ve Enerji Denklikleri
GDM2101,Gıda Kimyası Ve Biyokimyası 1
GDM2131,Gıda Mühendisliğinde Mesleki İngilizce
GDM2151,Gıda Ekonomisi
GDM2181,Genel Mikrobiyoloji
GDM3051,Mühendislik Çalışmalarında İstatistiksel Yöntemler
GDM3211,Enstrümental Analizler
GDM3231,Gıda Mühendisliğinde Temel İşlemler 1
GDM3241,Gıda Biyoteknolojisi
GDM3251,Isı Ve Kütle Aktarımı
GDM3261,Reaksiyon Kinetiği
GDM4041,Bitkisel Yağ Teknolojisi
GDM4101,Gıda Ürünlerinin Geliştirilmesi
GDM4111,Gıda Analizleri Ve Teknoloji Laboratuvarı 2
GDM4121,Gıda Mühendisliğinde Tasarım
GDM4151,Meyve Ve Sebze İşletme Teknolojisi
GDM4171,Fermentasyon Teknolojisi
GDM4181,Gıdalardaki Fonksiyonel Bileşikler
GDM4191,Tahıl Ve Ürünleri Teknolojisi
GDM4201,Duyusal Analiz
GDM9000,Bitirme Çalışması
GRA1011,Temel Tasarım 1
GRA1021,Fotoğraf 1
GRA1031,Desen 1
GRA1041,Bilgisayar Destekli Tasarım 1
GRA2011,Grafik Tasarımı 1
GRA2021,Arayüz Tasarımı 1
GRA2031,Tipografi 1
GRA2041,Grafik Tasarım Tarihi 1
GRA2051,İllüstrasyon 1
GRA2110,Ambalaj Tasarımı
GRA2160,Yönlendirme Tasarımı
GRA2220,Göstergebilim
HRT1011,Harita Mühendisliğine Giriş
HRT1021,Teknik Resim Ve Tasarı Geometri
HRT2142,Dengeleme Hesabı
HRT2331,Ölçme Bilgisi 2
HRT3221,Bilimsel Araştırmaya Giriş
HRT3350,Topografya
HRT4131,Görüntü Analizi
HRT4262,Uzaktan Algılama Sistemleri
HRT4281,Karar Destek Sistemleri
HRT4331,Özel Ölçmeler
HRT4351,Deformasyon Ölçmeleri
HRT4441,Web Cbs Ve  Kartografya
HRT4492,Arazi Bilgi Yönetim Sistemleri
HRT4531,Arazi Yönetimi 1
HRT5004,Araştırma Yöntemleri ve Bilimsel Etik
HRT5101,Jeodezik Altyapı
HRT5102,Çoklu-GNSS Ağları ve Sürekli Çalışan Referans İstasyonları (CORS)
HRT5108,İleri Hidrografik Ölçmeler
HRT5113,Kadastroda İleri Teknikler 
HRT5128,Zamansal Tapu-Kadastro Bilgi Sistemleri
IKT1101,İktisada Giriş 1
IKT2211,İstatistik 1
IKT2222,İktisadi Sistemler
IKT3610,Enerji Ve Doğal Kaynaklar Ekonomisi
IKT3630,Uluslararası Entegrasyon
IKT3680,Ab Ekonomisi
IKT3730,Finans Tarihi
IKT3770,Kamu Maliyesi
IKT3820,Sosyal Politikalar İktisadi
IKT4610,Teknoloji Ve Ekonomi
IKT4650,İktisadi Modeller Ve Programlama
IKT4660,Bankacılık Ve Finansal Kurumlar
IKT4680,Büyüme Ekonomisi
IKT4690,Finansal Kriz Kuramları
IKT4710,Endüstriyel Organizasyon
IKT4720,Oyun Teorisi
IKT4730,Sosyal Ve Ekonomik Ağlar
ILT1611,Fotoğraf Teknikleri
ILT1621,Grafik Tasarım Araçları
ILT2601,Projeye Giriş
ILT2611,1950 Öncesi Tas.Tarihi
ILT2651,İnteraktif Tasarım Araçları
ILT2661,Simge Tasarımı
ILT2701,Algoritmanın Temelleri
ILT2711,Tasarımda Eskizleme Yön.
ILT2721,Tipografi
ILT2731,Senaryo Yazımı
ILT2750,Görsel-işitsel Dijital Enformasyonun Etmenleri
ILT3501,Animasyon Tasarımı
ILT3651,Proje 2
ILT3661,Kullanılabilirlik Temelleri
ILT3671,Enformasyon Tasarımı
ILT3711,3B Modelleme
ILT3721,Video Kurgu Ve İşleme Teknikleri
ILT3801,İleri Görüntü İşleme Teknikleri
ILT3811,Tasarım Teorisi
ILT3931,Tasarım İçin İngilizce
ILT4701,Medya Planlaması
ILT4750,Bilişim Teknolojilerinde Seçilmiş Konular
ILT4801,Sinemada Yaratıcılar Ve Akımlar
ING1000,Hazırlık Dilbilgisi Becerileri
ING1001,Hazırlık Yazma Becerileri
ING1002,Hazırlık Okuma Becerileri
ING1003,Hazırlık Dinleme Becerileri
ING1004,Hazırlık Konuşma Becerileri
ING1111,Bağlamsal Dilbilgisi 1
ING1311,Okuma Becerileri 1
ING1321,Yazma Becerileri 1
ING1331,Dinleme Ve Sesletim 1
ING1341,Sözlü İletişim Becerileri 1
ING2060,İngilizce Öğretiminde Materyal Tasarımı
ING2120,Kitle İletişiminde İngilizce
ING2140,Sosyodilbilim Ve Dil Öğretimi
ING2151,İngilizce- Türkçe Çeviri
ING2161,Anlatım Becerileri
ING2170,Mesleki İngilizce
ING2311,İngilizce Öğrenme Ve Öğretim Yaklaşımları
ING2331,Dilbilimi 1
ING2341,Eleştirel Okuma Ve Yazma
ING3121,Özel Öğretim Yöntemleri II
ING4121,Yabancı Dil Öğretiminde Materyal İnceleme Ve Geliştirme
INS1011,İnşaat Mühendisliğine Giriş
INS1322,Statik
INS2731,Malzeme Bilimi Ve Mühendisliği
INS3572,Köprüler
INS3692,Yapı Statiği 3
INS3921,Mühendislik Ekonomisi
INS4111,Geoteknik Uygulamaları
INS4131,İstinat Yapıları Tasarımı
INS4281,Su Temini Ve Atık Su Sistemleri Tasarımı
INS4481,Demiryolu Tasarımı
INS4522,Çelik Yapıların Plastik Hesabı
INS4631,Çelik Yapı Tasarımı
INS4632,Betonarme Yapılar Ve Temel Tasarımı 
INS4672,Toplu Taşıma Aktarma Merkezi Tasarımı 
INS4901,İş Sağlığı Ve Güvenliği 1
INS5508,Ulaştırma Ekonomisi
INS5511,Ulaştırma Planlaması-I 
INS5514,Akıllı Ulaştırma Sistemleri Uygulaması
INS6107,Geoteknik Mühendisliğinde Aletsel Gözlem ve Arazi Ölçümleri
ISL1181,İşletme Matematiği 1
ISL1622,Davranış Bilimleri
ISL1711,Hukukun Genel Kavramları
ISL2132,ISL2132 - MEZUNIYET MAZERET - TR - Maliyet Muhasebesi
ISL2170,Muhasebe Organizasyonu
ISL2481,Temel İşletme Yönetimi
ISL2560,Halkla İlişkiler
ISL2731,Araştırma Yöntemleri
ISL2742,Sosyal Bilimlerde İstatistik Uygulamaları
ISL3040,Örgütlerde Takım Oluşturma Ve Geliştirme
ISL3051,Mesleki İngilizce 2
ISL3182,Muhasebe Denetimi
ISL3411,Pazarlama
ISL3530,Reklam Hukuku
ISL3531,Davranışsal Açıdan Sürdürülebilirlik
ISL3541,Faizsiz Finans
ISL3620,Örgüt Geliştirme
ISL3660,İşletmelerde İletişim
ISL3770,Yatırım Analizi Ve Portföy Yönetimi
ISL3862,İş Hukuku
ISL3972,İş Sağlığı Ve Güvenliği Hukuku
ISL4051,İşletmelerde Güncel Sorunlara Çözüm Seminerleri 2
ISL4140,Hizmet Pazarlaması
ISL4431,Elektronik Ticaret
ISL4560,İnsan Kaynakları Yönetiminde Güncel Konular
ISL4611,Örgütsel Etik
ISL4650,Uluslararası Yönetim
ISL4692,Stratejik İşletme Yönetimi
ISL4910,Reklam Yönetimi
ISL4931,Maliyet Sistemleri
IST1131,Olasılığa Giriş
IST1141,İstatistiğe Giriş
IST1870,Uygulamalı Bilimler İçin İstatistik
IST1932,İstatistik
IST2041,İstatistikçiler İçin Ana İşletmecilik Bilgileri
IST2081,Örnekleme 1
IST2121,Matematiksel İstatistiğe Giriş
IST2131,Bilgisayar Programlama
IST3011,Optimizasyon
IST3060,Bayesgil İstatistik
IST3121,Regresyon Analizi 1
IST3141,Parametrik Olmayan İstatistiksel Yöntemler
IST3160,Aktüeryaya Giriş
IST4000,Bitirme Çalışması
IST4120,Pazar Araştırma Teknikleri
IST4130,Web Programlama
IST4131,Ekonometri
IST4140,Bulanık Mantık
IST4171,Veri Sınıflandırma Yöntemleri
IST4220,İstatistiksel Kalite Kontrol
IST4241,Deneysel Tasarım 2
ITB1680,Çok Sesli Müziğe Giriş
ITB3130,Siyasal İdeolojiler: Kuram ve Tarih
ITB3220,Modernite ve Tüketim Toplumu
ITB3550,İnsan Hakları
KIM1131,Temel Bilgisayar Bilimleri
KIM1170,Genel Kimya İngilizce Grupları Ortak Sınav
KIM1501,Genel Kimya 1
KIM1511,Genel Kimya 1
KIM1611,İş Sağlığı Ve Güvenliği 1
KIM1621,Genel Kimya Lab.1
KIM1701,Genel Kimya 1
KIM2301,Analitik Kimya
KIM2532,Fizikokimya 2
KIM2541,Analitik Kimya Lab. 1
KIM2542,Analitik Kimya Lab. 2
KIM2551,Anorganik Kimya Lab. 1
KIM2571,Kimya Tarihi
KIM2591,Çevre Kimyası Ve Teknolojisi
KIM2601,Kimyacılar İçin Matematik
KIM3421,Biyokimya 1
KIM3431,Fizikokimya 3
KIM3442,Organik Kimya 2
KIM3451,Fizikokimya Lab. 2
KIM3491,Korozyon Kimyası
KIM3501,Kalite Güvencesi Ve Standartları
KIM4331,Organik Analiz Ve Yapı Tayini
KIM4341,Kozmetik Kimyası Ve Üretimi
KIM4451,Yem Kimyası
KIM4461,Gıda Katkı Maddeleri Ve Analiz Yöntemleri
KIM4471,Mesleki İngilizce
KIM4491,Reaksiyon Kinetiği
KIM4541,Sentetik Biyopolimerlere Giriş
KIM4561,Biyoteknolojik Yöntemler
KIM4801,Biyokimya 3
KIM4921,Organik Kimya 3
KIM4931,Organik Kimya Lab. 2
KMM1041,Kimya Mühendisliğine Giriş
KMM2601,İş Sağlığı Ve Güvenliği 1
KMM2611,Kimya Mühendisliği Hesaplamaları
KMM2621,Mühendisler İçin Fiziksel Kimya
KMM3501,Girişimcilik Ve Proje Yönetimi
KMM3511,Sayısal Analiz
KMM3521,Kimya Mühendisleğinde Isı Aktarımı
KMM3531,Kimya Mühendisliği Termodinamiği 2
KMM3541,Kütle Aktarımı
KMM3551,Çevre Teknolojisi
KMM3561,Teknik İletişim
KMM3571,Yakıtlar Ve Yakıt Teknolojileri
KMM3581,Enerji Tasarrufu
KMM3591,Kimya End. Analiz Yöntemleri
KMM3611,Kimya End. Kalite Kontrol
KMM4000,Bitirme Çalışması
KMM4601,Kimya Mühendisliği Lab 2
KMM4611,Kimya Mühendisliğinde Proses Tasarımı-1
KMM4621,Kimyasal Reaktör Tasarımı
KMM4631,Proses Dinamiği Ve Kontrol
KMM4641,Atık Geri Dönüşümü
KMM4651,Biyokimya Mühendisliği Esasları
KMM4671,Kimya Mühendisliği Ekonomisi
KMM4711,Elektrokimyasal Prosesler
KMM4721,Kimya Mühendisliğinde Optimizasyon
KMM4731,Membran Ve Membran Prosesleri
KMM4741,Yeni Ve Yenilenebilir Enerji Sis. Ts.
KOM1021,Lineer Cebir Ve Kontrol Mühendisliği Uygulamaları
KOM1061,Kontrol Ve Otomasyon Müh. Giriş
KOM1991,İş Sağlığı Ve Güvenliği 1
KOM2072,Devre Analizi Ve Sentezi
KOM2512,Kısmi Türevli Diferansiyel Denklemler Ve Uygulamaları
KOM2532,Elektromanyetik Alan Teorisi
KOM2711,"İşaret Ve Sistemler, Kontrol Mühendisliğinde Uygulamaları"
KOM2721,Elektrik Devre Temelleri
KOM2731,Kontrol Sistemleri Ölçme Ve Algılayıcılar
KOM2751,Analog Elektronik
KOM3510,Mekatronik
KOM3511,Analog Elektronik Laboratuvarı
KOM3521,Sayısal Elektronik Laboratuvarı
KOM3531,Kontrol Sistemleri Ölçme Ve Algılayıcılar Lab.
KOM3610,Güç Elektroniği
KOM3751,Kontrol Sistemleri
KOM3761,Elektrik Makineleri
KOM3771,Endüstriyel Otomasyon Sistemleri 1
KOM3781,Ayrık Zamanlı Kontrol Sistemleri
KOM4221,Kontrol Laboratuvarı
KOM4321,Tasarım Projesi
KOM4421,Endüstriyel Otomasyon Sistemleri Laboratuvarı 2
KOM4521,Çok Değişkenli Kontrol Teorisi
KOM4540,Ulaşım Sistemlerinde Otomasyon
KOM4560,Optimal Kontrole Giriş
KOM4570,Sistem Tanıma
KOM4580,Doğrusal Olmayan Sistemlere Giriş
KOM4670,Mikrokontrolörler Ve Endüstriyel Uygulamaları 2
KOM4991,Çok Disiplinli Tasarım Projesi
KOM5106,Sistem Analiz Teknikleri
KOM5108,Dinamik Sistemler İçin İleri Kontrol Yöntemleri
KOM5110,Frekans Tabanlı Sistem Tanıma
KOM5111,Otomasyon Sistemlerinde Veri Haberleşmesi
KOM5113,Ayrık Olay Sistemlerinin Kontrolu ve Otomasyonu 
KOM9000,Bitirme Çalışması
KVK1011,Koruma Ve Onarıma Giriş
KVK1021,Teknik Resim
KVK1031,Arkeolojiye Giriş
KVK1041,Bezeme Teknikleri 1
KVK1051,İş Sağlığı Ve Güvenliği 1
KVK2011,Kültür Varlıklarını Belgeleme Ve Koruma 1
KVK2021,Koruma Kimyası 1
KVK2031,Mimarlık Tarihine Giriş
KVK2041,Alçı Bezeme Koruma Ve Onarım
KVK2051,Geleneksel Yapı Teknolojisi Ve Elemanları 1
KVK2061,Fotoğrafla Belgeleme
KVK2131,Müzelerde Risk Yönetimi
KVK2141,Mobilya Tarihi
KVK3011,Kültür Varlıklarını Belgeleme Ve Koruma 3
KVK3021,Keşif Ve Metraj
KVK3031,Metal Koruma Ve Onarım
KVK3041,Kalemişi Koruma Ve Onarım
KVK3211,Arkeometriye Giriş
MAK2100,Makine Teknolojisi Tarihi
MAK2101,Sayısal Yöntemler
MAK3071,Sistem Dinamiği Ve Simulasyon
MAK3191,Gaz Tesisatı
MAK3201,Soğutma Tekniği
MAK3281,Motorlar
MAK3301,Akışkanlar Mekaniği 2
MAK3401,Katı Modelleme Ve Hızlı Prototipleme
MAK3431,Demir Dışı Metallerin Basınçlı  Dökümü
MAK3441,Kaynak Tekniği
MAK3451,Talaşlı İmalat
MAK3461,Talaşsız Şekil Verme Mekaniği
MAK3471,Taşıt Sistemleri
MAK3561,Taşıtlarda Algılayıcılar ve Aktüatörler
MAK3671,Tribolojinin Prensipleri Ve Uygulamaları
MAK3681,İklimlendirmede Yalıtım Sistemleri
MAK3691,İç Hava Kalitesi Ve Tesisatta Hijyen
MAK4241,Proses Kontrol 1
MAK4251,Klima 2
MAK4261,Güneş Enerjisi Ve Isı Pompası Sistemleri 1
MAK4401,Hidrolik Pnömatik Sistemler
MAK4461,Gaz Türbinleri
MAK4481,Tasarım Tekniği 2
MAK4491,Transport Tekniği 1
MAK4541,Eklemeli İmalat
MAK4571,Motor Konstrüksiyonu
MAK4601,Enerji Yönetimi 1
MAK4661,Termik Proses Tekniği 1
MAK4801,İklimlendirme Sistemlerinde Yenilenebilir Enerji Kullanımı
MAK4891,Mühendislik Sistemlerinin Modellenmesi Ve Simulasyonu
MAK4921,Dıesel Motor Teknolojisi
MAK4931,Taşıtlarda Tahrik Dinamiği Ve Güç Aktarma Sistemleri
MAT1001,Matematik 1
MAT1002,Matematik 2
MAT1071,Matematik 1 İngilizce Grupları Ortak Sınav
MAT1141,Matematik Analiz 1
MAT1151,Lineer Cebir 1
MAT1161,Soyut Matematik
MAT1171,Bilgisayar Programlamaya Giriş
MAT1320,Lineer Cebir İngilizce Grupları Ortak Sınav
MAT1341,Matematik I
MAT2001,Matematik Analiz 3
MAT2041,Matematik Analiz 3
MAT2091,Cebir 1
MAT2131,Lineer Programlama
MAT2141,Analitik Geometri 1
MAT2171,Diferansiyel Denklemler 1
MAT2411,Diferansiyel Denklemler İngilizce Grupları Ortak Sınav
MAT3171,Topolojiye Giriş
MAT3220,Kodlama Teorisine Giriş
MAT3240,Yöneylem Araştırması
MAT3260,Şifrelemeye Giriş
MAT4350,Normlu Uzaylarda Sayısal Bölgeler
MAT4360,Dönüşümler Ve Geometriler
MAT4410,Halkalar Ve Modüller
MAT4440,Pozitif Operatörlere Giriş
MAT4540,Matematik Tarihi
MAT6102,C*- Cebirleri
MAT6104,Cebirsel Sayılar Teorisi
MAT6111,Grup Teori
MAT6114,İleri Diferensiyel Geometri 
MAT9000,Bitirme Çalışması
MBG1011,Genel Biyoloji 1
MBG1031,Biyoloji
MBG2041,Organik Kimya I
MBG2042,Organik Kimya 2
MBG2211,Genetik 1
MBG2221,Mikrobiyoloji
MBG2231,Hücre Biyolojisi
MBG2241,İş Sağlığı Ve Güvenliği 1
MBG3011,Biyokimya 1
MBG3051,Mesleki İngilizce 1
MBG3071,Biyoetik
MBG3094,İmmunoloji
MBG3321,Moleküler Biyoloji 1
MBG3331,İnsan Genetiği
MBG3341,Bitki Fizyolojisi
MBG4041,Protein Kimyası
MBG4052,Enzimoloji
MBG4061,Bitki Kimyası
MBG4071,Nanobiyoteknoloji
MBG4082,Tıbbi Genetik Uygulamaları
MBG4411,Bitki Moleküler Biyolojisi
MBG4421,Biyoinformatik
MBG4431,Biyoteknolojiye Giriş
MIM1011,Mimari Tasarıma Giriş
MIM1012,Mimari Tasarım 1
MIM1032,Yapı Malzemesi
MIM1041,Temel Tasar
MIM1412,Uygarlık Tarihi
MIM2011,Mimari Tasarım 2
MIM2012,Mimari Tasarım 3
MIM2071,Mimarlık Tarihi 1
MIM2201,İş Sağlığı Ve Güvenliği 1
MIM2680,Ünlü Mümarlar Ve Seyahat Rotaları
MIM3010,İstanbul Sayfiyelerinin Mekansal Değişimi
MIM3031,Yapı Fiziği 1
MIM3172,Tarihi Bahçeler
MIM3221,Mekanın Üretim Ve Tüketim Süreci
MIM3232,Isı-nem
MIM3272,Yapılarda Gazbeton Uygulamaları
MIM3281,Çelik Yapı Tasarımı
MIM3321,Kent Arkeolojisi
MIM3361,Mimarlıkta Topografik Ölçme Bilgisi
MIM3362,Mimarlık Ve Planlamada Aplikasyon
MIM3531,"Mimari Tasarım, Kültür, Bağlam"
MIM4031,Yapım Yönetimi Ve Ekonomisi
MIM4051,Koruma Restorasyon
MIM4131,Mimari Animasyon
MIM4151,Mevcut Çevrelerde Yeni Yapı Tasarımında Mimari Yaklaşımlar
MIM4322,Batılılaşma Dönemi İstanbul
MIM4341,Sinemada Mekan Ve Tarih
MKT1111,Bilgisayar Destekli Tasarım
MKT1801,İş Sağlığı Ve Güvenliği 1
MKT1821,Mekatronik Mühendisliğine Giriş
MKT2161,Mühendislik Mekaniği 1
MKT2831,Lab 2 - Elektrik Ve Elektronik
MKT3871,Proses Tekniği
MKT4000,Bitirme Çalışması
MKT4811,Yapay Zekaya Giriş
MKT4813,Sistem Analizi Ve Tasarımı
MKT4827,Güç Elektroniği
MKT4831,Robot Mühendisliği
MKT4835,Endüstriyel Ölçme Sistemleri
MKT5112,Lineer Sistem Teorisi
MTF1111,Çeviriye Giriş 1
MTF1121,Fransızca Yazılı Anlatımı Geliştirme 1
MTF1131,Zorunlu Yabancı Dil 1
MTF1132,Zorunlu Yabancı Dil 2
MTF1382,Sözlü Söylem Çözümlemesi Ve İfade
MTF1391,Söylem Ve Çeviri
MTF2051,Çeviri Tarihi
MTF2111,Dilbilimin Temel Kavramları
MTF2121,Fransız Yazın Ve Uygarlığı 2
MTF2131,Zorunlu Yabancı Dil 3
MTF2132,Zorunlu Yabancı Dil 4
MTF2141,Teknik Çeviri 1
MTF2151,Tr- Fr. Çeviri Çalışmaları 1
MTF2381,Sözlü Çeviride Not Alma Teknikleri
MTF2391,Teknik Metin Yazarlığı
MTF2411,İtalyanca 1
MTF2431,Almanca 1
MTF3211,Yazınsal Çeviri 1
MTF3311,Fransız Yazını Ve Uygarlığı 4
MTF3321,Sözlü Çeviri 1
MTF3331,Zorunlu Yabancı Dilde Çeviri 1
MTF3341,Teknik Çeviri 3
MTF3411,İtalyanca 3
MTF3431,Almanca 3
MTF3991,Mesleki Deneyim 1
MTF4211,Toplumbilim Ve Çeviri
MTF4391,Polisiye Edebiyat Ve Çeviri
MTF4411,İtalyanca 5
MTF4431,Almanca 5
MTF4451,Teknik Çeviri 5
MTF4461,Yazılı Çeviri Eleştirisi
MTF4471,Zorunlu Yabancı Dilde Çeviri 3
MTF4991,Mesleki Deneyim 2
MTM1501,Analiz 1
MTM1511,Programlama Dilleri 1
MTM1561,Matematik Mühendisliğine Giriş
MTM2511,Algoritmalar Ve Veri Yapıları
MTM2521,Nümerik Analiz 1
MTM2552,İntegral Denklemler
MTM2562,Fark Denklemleri
MTM3541,Veri Yönetimi Ve Dosya Yapıları 2
MTM3561,Sigorta Matematiğine Giriş
MTM3601,Nümerik Analiz 2
MTM3641,Bilgisayar Destekli Matematiksel Hesaplamalar
MTM3651,İstatistik
MTM3661,Matematik Lojik
MTM3671,Çizge Kuramı Ve Algoritmalar
MTM4521,Nesneye Yönelik Programlama
MTM4541,Dinamik
MTM4552,Görüntü İşleme
MTP1011,Klasik Gitar 1
MTP1031,Piyano 1
MTP1041,Flüt 1
MTP1051,Lied Yorumculuğu 1
MTP1081,Fasıl Şarkıcılığı 1
MTP1091,Caz Gitar 1
MTP1101,Bas Gitar 1
MTP1111,Davul 1
MTP1121,Bağlama 1
MTP1131,Viyolonsel 1
MTP1141,Kanun 1
MTP1731,Ud 1
MTP1761,Türk Müziğinde Nefesli Sazlar 1
MTP2011,Klasik Gitar 3
MTP2021,Keman 3
MTP2031,Piyano 3
MTP2041,Flüt 3
MTP2051,Lied Yorumculuğu 3
MTP2061,Tanbur 3
MTP2071,Klasik Kemençe 3
MTP2081,Fasıl Şarkıcılığı 3
MTP2091,Caz Gitar 3
MTP2101,Bas Gitar 3
MTP2121,Bağlama 3
MTP2131,Viyolonsel 3
MTP2141,Kanun 3
MTP2151,Müzik Tarihi Klasik
MTP2181,Makam Bilgisi 1
MTP2191,Oda Müziği 1
MTP2211,Türk Makam Müziği Topluluğu 1
MTP2221,Türk Halk Müziği Topluluğu 1
MTP2231,Caz Topluluğu 1
MTP2261,Klarnet 3
MTP2281,Yardımcı Çalgı 1
MTP2761,Türk Müziğinde Nefesli Sazlar 3
MTP3011,Klasik Gitar 5
MTP3031,Piyano 5
MTP3041,Flüt 5
MTP3081,Fasıl Şarkıcılığı 5
MTP3091,Caz Gitar 5
MTP3101,Bas Gitar 5
MTP3121,Bağlama 5
MTP3171,Temel Caz Bilgisi 1
MTP3191,Oda Müziği 3
MTP3201,Caz Topluluğu 3
MTP3221,Türk Halk Müziği Topluluğu 3
MTP3231,Müzisyenler İçin Terminoloji 2
MTP3241,Deşifraj 1
MTP3281,Yardımcı Çalgı 3
MTP4011,Klasik Gitar 7
MTP4041,Flüt 7
MTP4051,Lied Yorumculuğu 7
MTP4071,Klasik Kemençe 7
MTP4081,Fasıl Şarkıcılığı 7
MTP4091,Caz Gitar 7
MTP4101,Bas Gitar 7
MTP4111,Davul 7
MTP4121,Bağlama 7
