department_code,mandatory_courses
SBU,"['SBU1401', 'SBU1031', 'SBU1701', 'SBU1032', 'SBU1612', 'SBU1702', 'SBU2211', 'SBU2311', 'SBU2501', 'SBU2132', 'SBU2142', 'SBU2152', 'SBU2502', 'SBU3011', 'SBU3101', 'SBU3111', 'SBU3201', 'SBU3301', 'SBU3401', 'SBU3102', 'SBU3202', 'SBU3302', 'SBU3402', 'SBU4111', 'SBU4121', 'SBU4221', 'SBU4000', 'SBU4122', 'SBU4222', 'TDB1031', 'IKT1101', 'ATA1031', 'MDB1031', 'ATA1032', 'IKT1102', 'MDB1032', 'TDB1032', 'IKT2272', 'MDB2051', 'ENF1170', 'ISL2742', 'MDB3032']"
CEV,"['MAT1821', 'SBP1112', 'MAT1320', 'INS4000', 'CEV2231', 'CEV1001', 'CEV1170', 'CEV1152', 'CEV1162', 'CEV2201', 'CEV2241', 'CEV2002', 'CEV2202', 'CEV2222', 'CEV2272', 'CEV3001', 'CEV3071', 'CEV3111', 'CEV3301', 'CEV3321', 'CEV3002', 'CEV3022', 'CEV3072', 'CEV3302', 'CEV3322', 'CEV3362', 'CEV3382', 'CEV3392', 'CEV4001', 'CEV4041', 'CEV4071', 'CEV4000', 'ATA1031', 'FIZ1001', 'KIM1170', 'MAT1071', 'MDB1031', 'TDB1031', 'ATA1032', 'FIZ1002', 'MAT1072', 'MDB1032', 'TDB1032', 'INS2731', 'INS2811', 'MAT2411', 'INS3952', 'INS4901', 'INS4902']"
HRT,"['HRT1011', 'HRT1021', 'HRT1052', 'HRT1112', 'HRT1172', 'HRT1312', 'HRT2111', 'HRT2121', 'HRT2331', 'HRT2341', 'HRT2411', 'HRT2002', 'HRT2132', 'HRT2142', 'HRT2252', 'HRT2322', 'HRT2442', 'HRT3191', 'HRT3211', 'HRT3221', 'HRT3331', 'HRT3431', 'HRT3571', 'HRT3002', 'HRT3012', 'HRT3422', 'HRT3432', 'HRT3512', 'HRT3822', 'HRT4201', 'HRT4311', 'HRT4391', 'HRT4521', 'HRT4392', 'HRT9000', 'FIZ1001', 'KIM1170', 'MAT1071', 'MAT1320', 'MDB1031', 'TDB1031', 'FIZ1002', 'MAT1072', 'MDB1032', 'TDB1032', 'ATA1031', 'MAT2411', 'ATA1032', 'INS4901', 'INS4902']"
INS,"['INS1011', 'INS1911', 'INS1122', 'INS1170', 'INS1322', 'INS2311', 'INS2321', 'INS2711', 'INS2002', 'INS2222', 'INS2322', 'INS2512', 'INS2722', 'INS3121', 'INS3211', 'INS3441', 'INS3531', 'INS3541', 'INS3002', 'INS3112', 'INS3212', 'INS3442', 'INS3522', 'INS4201', 'INS4511', 'INS4691', 'INS4821', 'INS4901', 'INS4000', 'INS4902', 'FIZ1001', 'KIM1170', 'MAT1071', 'MAT1320', 'MDB1031', 'TDB1031', 'FIZ1002', 'MAT1072', 'MDB1032', 'TDB1032', 'HRT3350', 'MAT2411', 'ATA1031', 'ATA1032']"
BYM,"['ENF1170', 'BYM1201', 'BYM1312', 'BYM1512', 'BYM1602', 'BYM2101', 'BYM2311', 'BYM2321', 'BYM2711', 'BYM2002', 'BYM2202', 'BYM2222', 'BYM2302', 'BYM2812', 'BYM3401', 'BYM3511', 'BYM3901', 'BYM3911', 'BYM3002', 'BYM3032', 'BYM3202', 'BYM3212', 'BYM3782', 'BYM4081', 'BYM4191', 'BYM4241', 'BYM4741', 'BYM4000', 'BYM4242', 'BYM4382', 'ENF1170', 'KIM1170', 'FIZ1001', 'MAT1071', 'MDB1031', 'TDB1031', 'FIZ1002', 'MAT1072', 'MDB1032', 'TDB1032', 'ATA1031', 'MAT2411', 'MDB2051', 'ATA1032', 'MDB3032']"
GDM,"['GDM2112', 'GDM1011', 'GDM1022', 'GDM1042', 'GDM1252', 'GDM2091', 'GDM2101', 'GDM2131', 'GDM2151', 'GDM2181', 'GDM2002', 'GDM2042', 'GDM2102', 'GDM2112', 'GDM2162', 'GDM2172', 'GDM2182', 'GDM2222', 'GDM3001', 'GDM3051', 'GDM3211', 'GDM3231', 'GDM3231', 'GDM3241', 'GDM3251', 'GDM3261', 'GDM3012', 'GDM3022', 'GDM3032', 'GDM3162', 'GDM3242', 'GDM3252', 'GDM3272', 'GDM4041', 'GDM4111', 'GDM4121', 'GDM4151', 'GDM4191', 'GDM4002', 'GDM4232', 'GDM9000', 'ATA1031', 'FIZ1001', 'KIM1170', 'MAT1071', 'MBG1031', 'MDB1031', 'TDB1031', 'ATA1032', 'FIZ1002', 'MAT1072', 'MDB1032', 'TDB1032', 'KIM2301', 'MAT2411']"
KMM,"['KIM1501', 'KIM1502', 'KIM2301', 'KIM2462', 'KMM1041', 'KMM1002', 'KMM2601', 'KMM2611', 'KMM2621', 'KMM2002', 'KMM2602', 'KMM2612', 'KMM2622', 'KMM2632', 'KMM3501', 'KMM3511', 'KMM3521', 'KMM3531', 'KMM3541', 'KMM3002', 'KMM3502', 'KMM3512', 'KMM3522', 'KMM3532', 'KMM3542', 'KMM4601', 'KMM4611', 'KMM4621', 'KMM4631', 'KMM4000', 'KMM4602', 'KMM4622', 'KMM4632', 'FIZ1001', 'KIM1501', 'MAT1071', 'MDB1031', 'TDB1031', 'FIZ1002', 'KIM1502', 'MAT1072', 'MAT1320', 'MDB1032', 'TDB1032', 'ATA1031', 'KIM2301', 'MAT2411', 'MDB2051', 'ATA1032', 'KIM2462', 'MDB3032']"
MTM,"['MTM1501', 'MTM1511', 'MTM1561', 'MTM1531', 'MTM1551', 'MTM1502', 'MTM1512', 'MTM1562', 'MTM1532', 'MTM1522', 'MTM2501', 'MTM2511', 'MTM2521', 'MTM2531', 'MTM2002', 'MTM2502', 'MTM2592', 'MTM2522', 'MTM2532', 'MTM3691', 'MTM3701', 'MTM3651', 'MTM3502', 'MTM3512', 'MTM3002', 'MTM3522', 'MTM4501', 'MTM4511', 'MTM4502', 'MTM4000', 'FIZ1001', 'MDB1031', 'FIZ1002', 'MDB1032', 'MDB2051', 'TDB1031', 'TDB1032', 'ATA1031', 'ATA1032', 'MDB3032']"
END,"['GIM3622', 'END1911', 'END1991', 'END1902', 'END1912', 'END2961', 'END2971', 'END2981', 'END2991', 'END2312', 'END2962', 'END2972', 'END2982', 'END2992', 'END3001', 'END3401', 'END3961', 'END3971', 'END3981', 'END3991', 'END3942', 'END3952', 'END3962', 'END3972', 'END3992', 'END4001', 'END4651', 'END4661', 'END4971', 'END4991', 'END4000', 'END4002', 'END4972', 'END4982', 'END4992', 'ATA1031', 'ENF1170', 'FIZ1001', 'MAT1071', 'MDB1031', 'TDB1031', 'FIZ1002', 'KIM1170', 'MAT1072', 'MDB1032', 'TDB1032', 'MAT1320', 'MAT2411', 'ATA1032']"
MAK,"['MAT1320', 'MAK1051', 'MAK1061', 'MAK1071', 'MAK1072', 'MAK1062', 'MAK1052', 'MAK2011', 'MAK2061', 'MAK2071', 'MAK2081', 'MAK2091', 'MAK2101', 'MAK2112', 'MAK2122', 'MAK2132', 'MAK2142', 'MAK2212', 'MAK2172', 'MAK2162', 'MAK2152', 'MAK3001', 'MAK3091', 'MAK3271', 'MAK3281', 'MAK3481', 'MAK3291', 'MAK3301', 'MAK3391', 'MAK3002', 'MAK3072', 'MAK3172', 'MAK3182', 'MAK3192', 'MAK3262', 'MAK4081', 'MAK4291', 'MAK4391', 'MAK4451', 'MAK4471', 'MAK4002', 'MAK9000', 'MAK4072', 'MAK4462', 'MAK4482', 'MAK4472', 'FIZ1001', 'MAT1071', 'MDB1031', 'FIZ1002', 'KIM1170', 'MAT1072', 'MDB1032', 'TDB1032', 'MAT2411', 'ATA1031', 'ATA1032']"
